# index, _pos
1192,"array([-0.60452009, -8.64728221])"
1193,"array([-2.77554485, -8.66677148])"
1194,"array([-2.35129529, -9.14981303])"
1195,"array([-2.07840931, -8.62892347])"
1196,"array([-2.65012015, -9.0784853 ])"
1197,"array([-1.33184025, -8.45743481])"
1198,"array([-1.49000571, -8.99659567])"
1199,"array([-2.4383278 , -9.31345913])"
1200,"array([-2.40319684, -8.92685026])"
1201,"array([-2.46320138, -8.80191017])"
1202,"array([-1.65457761, -8.87230468])"
1203,"array([-1.16487491, -8.89559607])"
1204,"array([-1.74309174, -8.9058164 ])"
1205,"array([-1.31039781, -9.01306387])"
1206,"array([-2.43000037, -9.09408673])"
1207,"array([-2.35622649, -7.92541091])"
1208,"array([-2.73601358, -8.41875722])"
1209,"array([-2.71446238, -9.37566606])"
1210,"array([-2.37070558, -9.31269516])"
1211,"array([-2.30372338, -9.29211796])"
1212,"array([-1.54208874, -8.95582264])"
1213,"array([-1.92007148, -8.82893476])"
1214,"array([-1.53094431, -9.13282551])"
1215,"array([-3.46320076, -8.83005714])"
1216,"array([-1.69878468, -8.96046295])"
1217,"array([-1.42026649, -8.83892629])"
1218,"array([-1.51477333, -8.92288693])"
1219,"array([-1.73084887, -8.95928466])"
1220,"array([-1.75399492, -9.15459602])"
1221,"array([-2.26234295, -9.0044687 ])"
1222,"array([-3.09197152, -8.09287641])"
1223,"array([-1.922604 , -7.9957481])"
1224,"array([-0.19549185, -8.82878881])"
1225,"array([-3.21550415, -8.90191797])"
1226,"array([-1.36738538, -9.8916528 ])"
1227,"array([-1.55527066, -8.85826126])"
1228,"array([-0.73705977, -9.05315902])"
1229,"array([-2.07032072, -9.48170904])"
1230,"array([-2.28226925, -9.3693214 ])"
1231,"array([-2.82254222, -8.73098021])"
1232,"array([-3.93256664, -8.07671718])"
1233,"array([-1.66770662, -8.90684141])"
1234,"array([-2.73680708, -9.52236249])"
1235,"array([-0.79585175, -8.99608031])"
1236,"array([-1.09456784, -8.93415295])"
1237,"array([-1.22068081, -8.54409422])"
1238,"array([-1.75477743, -8.73088894])"
1239,"array([-2.64174339, -7.74867365])"
1240,"array([-1.89254416, -8.95082992])"
1241,"array([-1.66486433, -8.6114285 ])"
1242,"array([-2.51810926, -8.62383323])"
1243,"array([-2.38273823, -8.63880314])"
1244,"array([-2.54118733, -8.88252809])"
1245,"array([-2.64022853, -9.46908528])"
1246,"array([ -2.48983748, -10.11035622])"
1247,"array([-2.5006355 , -9.54215493])"
1248,"array([-2.61764108, -7.94915426])"
1249,"array([-2.4857872 , -8.15110283])"
1250,"array([-2.57303242, -7.72156877])"
1251,"array([-2.2840316 , -8.66589798])"
1252,"array([-1.98874566, -9.33457672])"
1253,"array([-2.67575404, -9.48438771])"
1254,"array([-2.2416821, -9.7010684])"
1255,"array([-2.59578889, -9.88786901])"
1256,"array([-2.52974367, -8.6695581 ])"
1257,"array([ -2.0534375 , -10.12986923])"
1258,"array([ -1.89885303, -10.55136464])"
1259,"array([-2.94290637, -7.40604253])"
1260,"array([-2.61876661, -7.54021212])"
1261,"array([-2.72499956, -9.40940463])"
1262,"array([-2.00281079, -7.42962098])"
1263,"array([-2.33473595, -8.21334705])"
1264,"array([-2.28527872, -8.2508691 ])"
1265,"array([-1.76763583, -7.98552806])"
1266,"array([-2.1532214 , -8.32524991])"
1267,"array([-2.13507635, -8.0789156 ])"
1268,"array([-1.97784778, -8.21445824])"
1269,"array([-2.06372579, -7.78443654])"
1270,"array([-2.4345496, -8.2092625])"
1271,"array([-2.58382621, -8.01206815])"
1272,"array([-2.00190219, -8.08808808])"
1273,"array([-2.70281341, -7.96495007])"
1274,"array([-2.76678695, -7.82133596])"
1275,"array([-3.10392484, -7.21143084])"
1276,"array([-3.00529063, -7.04186394])"
1277,"array([-1.48095968, -8.65009427])"
1278,"array([-2.89471762, -9.79437034])"
1279,"array([-2.67597129, -9.36801184])"
1280,"array([-2.14055629, -7.93461871])"
1281,"array([-2.99982259, -9.6673963 ])"
1282,"array([-2.34931425, -8.9593684 ])"
1283,"array([-2.96140851, -8.72022061])"
1284,"array([-2.60130403, -9.83102783])"
1285,"array([-2.58089016, -8.56963258])"
1286,"array([-1.46964564, -8.61476578])"
1287,"array([-1.18596606, -8.51785   ])"
1288,"array([-2.23025042, -8.17983441])"
1289,"array([-2.00464408, -7.83186006])"
1290,"array([-1.66544468, -7.63489859])"
1291,"array([-1.73708771, -9.42372552])"
1292,"array([-2.33903637, -9.7526115 ])"
1293,"array([-2.41523639, -8.8734835 ])"
1294,"array([-2.87061746, -9.6716922 ])"
1295,"array([-2.47700284, -9.19147924])"
1296,"array([-2.09040977, -9.52365149])"
1297,"array([-2.58207194, -8.34429271])"
1298,"array([-2.72235186, -9.94287375])"
1299,"array([ -3.34570467, -10.36467085])"
1300,"array([-2.06696018, -8.93976505])"
1301,"array([-2.5794196 , -8.97367309])"
1302,"array([-2.94566816, -9.56491509])"
1303,"array([-2.90808421, -9.93571528])"
1304,"array([-2.8066705 , -7.28315176])"
1305,"array([-2.85554828, -7.88870958])"
1306,"array([-2.65446995, -8.28295309])"
1307,"array([-2.47847783, -8.66438395])"
1308,"array([-2.92831297, -9.49924542])"
1309,"array([ -2.6695169 , -10.06201066])"
1310,"array([-2.29461804, -7.62865227])"
1311,"array([-2.30538884, -7.43515114])"
1312,"array([-2.36956245, -8.06634291])"
1313,"array([-2.74974325, -8.13189961])"
1314,"array([-2.93524991, -7.67619752])"
1315,"array([-3.41460107, -7.00347811])"
1316,"array([-2.54794079, -7.9691498 ])"
1317,"array([-2.7203238 , -7.71654562])"
1318,"array([-3.11164271, -7.06325868])"
1319,"array([-2.88884779, -7.67235034])"
1320,"array([-2.76948065, -7.9321055 ])"
1321,"array([-2.93714688, -7.93283887])"
1322,"array([-2.41169079, -8.0737256 ])"
1323,"array([-1.89439994, -7.60418752])"
1324,"array([-2.82200342, -7.20202643])"
1325,"array([-2.65808806, -7.43800594])"
1326,"array([-2.03900833, -9.08858243])"
1327,"array([-2.12356947, -9.30797726])"
1328,"array([-1.86004941, -8.48542421])"
1329,"array([-1.07154177, -8.21020056])"
1330,"array([-3.64479011, -8.53145084])"
1331,"array([-1.99314376, -7.1362167 ])"
1332,"array([-2.1313075 , -7.80296714])"
1333,"array([-2.32520641, -7.49573015])"
1334,"array([-2.54853896, -7.82121721])"
1335,"array([-0.82937378, -7.5295104 ])"
1336,"array([-1.33042938, -7.70906564])"
1337,"array([-1.4349148 , -7.59339217])"
1338,"array([-2.60842089, -7.7836153 ])"
1339,"array([-2.72913324, -7.79398793])"
1340,"array([-2.19396257, -7.7267556 ])"
1341,"array([-2.15054195, -7.54471709])"
1342,"array([-2.46240334, -8.29527941])"
1343,"array([-2.40335564, -8.25293056])"
1344,"array([-2.40160381, -8.15518166])"
1345,"array([-1.28992886, -8.59686386])"
1346,"array([-1.17753582, -8.36395238])"
1347,"array([-3.65836549, -8.68765673])"
1348,"array([-2.54899471, -7.25514381])"
1349,"array([-2.46757806, -8.06469199])"
1350,"array([-0.91699457, -8.39171303])"
1351,"array([-1.45398454, -8.49625988])"
1352,"array([-3.15322542, -6.95589289])"
1353,"array([-2.43560266, -7.53988348])"
1354,"array([-2.66763091, -8.15098999])"
1355,"array([-2.64375182, -7.63270323])"
1356,"array([-2.71352258, -9.61956797])"
1357,"array([-3.25602288, -7.41795243])"
1358,"array([-3.22355612, -7.25339304])"
1359,"array([-2.8665096 , -7.76497057])"
1360,"array([-2.72625826, -8.24915579])"
1361,"array([-2.07699725, -8.24674529])"
1362,"array([-1.96155386, -8.67397057])"
1363,"array([-2.31363194, -8.44678147])"
1364,"array([-2.4885699 , -9.61434085])"
1365,"array([-2.44043644, -9.99445194])"
1366,"array([-2.75254601, -6.72326466])"
1367,"array([-2.53932433, -7.04917418])"
1368,"array([-1.37419562, -7.30816943])"
1369,"array([-2.54111833, -7.69811945])"
1370,"array([-2.55885897, -7.93541134])"
1371,"array([-2.41866109, -7.90947474])"
1372,"array([-2.51613568, -7.99220926])"
1373,"array([-2.44381857, -8.00782897])"
1374,"array([-2.1174223 , -7.14509968])"
1375,"array([-1.71831021, -7.4212351 ])"
1376,"array([-1.78881286, -7.78985997])"
1377,"array([ -2.03642513, -10.34092628])"
1378,"array([ -2.47963325, -10.15927722])"
1379,"array([-2.50600959, -8.46815117])"
1380,"array([-2.42624479, -8.1312407 ])"
1381,"array([-1.61431828, -9.18030289])"
1382,"array([-1.92644632, -8.94988686])"
1383,"array([ -2.13148458, -10.29012739])"
1384,"array([-2.48750732, -9.76026976])"
1385,"array([-2.04477208, -8.03467898])"
1386,"array([-1.61829317, -8.78306835])"
1387,"array([-1.71001181, -9.029666  ])"
1388,"array([-2.46613612, -7.33236668])"
1389,"array([-2.57525613, -7.13591998])"
1390,"array([-2.48663692, -8.2048199 ])"
1391,"array([-2.6176024 , -7.49302365])"
1392,"array([-2.46946196, -8.53800637])"
1393,"array([-1.8784381 , -7.81167595])"
1394,"array([-2.31037306, -8.23384264])"
1395,"array([-2.51190733, -8.07795134])"
1396,"array([-2.49202565, -8.43354553])"
1397,"array([-2.38353891, -9.52076134])"
1398,"array([-1.58881961, -8.52192618])"
1399,"array([-2.21282307, -7.84562196])"
1400,"array([-2.45770481, -9.16632779])"
1401,"array([ -1.75523608, -10.24122977])"
1402,"array([-3.11030093, -9.33335422])"
1403,"array([-1.56010211, -7.01131816])"
1404,"array([-1.50143083, -8.58436241])"
1405,"array([-2.27930672, -8.54550104])"
1406,"array([-2.61982078, -9.38989278])"
1407,"array([-2.55242745, -8.51950684])"
1408,"array([-1.31564752, -7.84556741])"
1409,"array([-1.79056847, -7.57343685])"
1410,"array([-1.31459746, -7.53737133])"
1411,"array([-1.5602038 , -7.83717441])"
1412,"array([ -1.43856958, -11.88245457])"
1413,"array([ -1.70707428, -11.15776067])"
1414,"array([-2.4353688 , -8.09616985])"
1415,"array([-2.46400153, -8.03614679])"
1416,"array([-2.66798672, -7.72238128])"
1417,"array([-2.50928125, -8.2419775 ])"
1418,"array([-0.97316177, -7.88081487])"
1419,"array([-0.46205004, -7.76726586])"
1420,"array([-2.45091989, -8.86540079])"
1421,"array([-2.58727893, -7.93158363])"
1422,"array([-2.4921343 , -7.90020598])"
1423,"array([-2.82447883, -8.88977655])"
1424,"array([-3.11603459, -9.42646949])"
1425,"array([-2.8358821 , -9.53779647])"
1426,"array([-2.72856746, -9.73498091])"
1427,"array([-2.32831205, -8.57467804])"
1428,"array([-1.8461092 , -8.13608957])"
1429,"array([-2.09386168, -8.1608197 ])"
1430,"array([-2.70174952, -8.0771954 ])"
1431,"array([-2.43091846, -8.93081936])"
1432,"array([-0.37897133, -7.69471872])"
1433,"array([-1.32539898, -8.18274478])"
1434,"array([-1.29310551, -7.67744286])"
1435,"array([-1.28522376, -7.4804895 ])"
1436,"array([-0.9154281 , -9.11702503])"
1437,"array([-2.14332668, -8.83646046])"
1438,"array([-2.97115618, -9.34262763])"
1439,"array([-2.64211299, -9.23661604])"
1440,"array([-2.89994693, -9.5772683 ])"
1441,"array([-0.90037095, -8.93752079])"
1442,"array([-2.68314957, -9.32347634])"
1443,"array([-2.49499451, -7.5150631 ])"
1444,"array([-0.77911633, -8.56274729])"
1445,"array([-1.47905052, -7.62419312])"
1446,"array([-1.35818854, -7.83611143])"
1447,"array([ -2.34849433, -10.29238463])"
1448,"array([-2.45843293, -9.8755994 ])"
1449,"array([-2.54140018, -9.60109649])"
1450,"array([-2.37697001, -9.79088104])"
1451,"array([-1.21399734, -8.62006798])"
1452,"array([ 0.27954775, -7.90233171])"
1453,"array([-0.52761709, -8.21849284])"
1454,"array([-2.54362851, -9.35796228])"
1455,"array([-1.93763643, -8.76094031])"
1456,"array([-1.40757036, -8.41021247])"
1457,"array([-2.48676712, -8.00777501])"
1458,"array([-2.50397791, -9.66989252])"
1459,"array([-2.58905943, -8.15049946])"
1460,"array([-2.34041365, -8.3742842 ])"
1461,"array([-1.74505627, -7.67920745])"
1462,"array([-1.13350217, -7.45193135])"
1463,"array([-2.87792939, -9.18383683])"
1464,"array([-3.65424874, -7.09144544])"
1465,"array([-2.44508956, -8.90315445])"
1466,"array([-2.97254076, -7.76854229])"
1467,"array([-2.41031331, -7.96240705])"
1468,"array([-1.09762164, -8.42095996])"
1469,"array([-1.6063975 , -8.55840462])"
1470,"array([-1.19207657, -8.31245354])"
1471,"array([-1.77456211, -8.68184543])"
1472,"array([-1.41753769, -8.48599292])"
1473,"array([ -2.72968769, -10.71281181])"
1474,"array([-2.77151289, -9.80713497])"
1475,"array([-2.16061418, -8.03475141])"
1476,"array([-2.31828381, -7.78472314])"
1477,"array([-2.07277934, -7.92672418])"
1478,"array([-2.52525509, -8.14765288])"
1479,"array([-2.49349304, -8.48794885])"
1480,"array([-2.64489182, -8.08823089])"
1481,"array([-2.55176451, -9.07104111])"
1482,"array([-1.29239067, -8.36519708])"
1483,"array([-1.61970445, -7.25923402])"
1484,"array([-2.67085287, -9.83612683])"
1485,"array([-2.49114163, -7.43365489])"
1486,"array([-2.57980668, -7.62266309])"
1487,"array([-2.51593622, -7.81181491])"
1488,"array([-2.42833324, -8.37259424])"
1489,"array([-2.15474904, -7.64619961])"
1490,"array([-1.69761311, -8.70124011])"
1491,"array([-2.78934418, -7.42745135])"
1492,"array([-3.28980903, -7.86965462])"
1493,"array([-1.77376571, -9.76356879])"
1494,"array([-1.87741716, -8.42497331])"
1495,"array([-1.24435922, -8.49721067])"
1496,"array([-2.64584625, -9.26645785])"
1497,"array([-3.48604708, -8.86565004])"
1498,"array([-1.16887559, -8.41682239])"
1499,"array([-1.62539633, -8.74653322])"
1500,"array([-1.80584729, -8.57598622])"
1501,"array([-1.56380859, -7.58728427])"
1502,"array([-2.18025723, -7.67604333])"
1503,"array([-1.74577033, -7.77272493])"
1504,"array([-2.64061576, -8.70823949])"
1505,"array([-2.85045738, -8.52077532])"
1506,"array([-0.06789561, -8.74381759])"
1507,"array([ 0.69606821, -8.70675508])"
1508,"array([-0.65586036, -8.51290673])"
1509,"array([-1.3228776 , -8.50279787])"
1510,"array([-1.71703934, -8.73203568])"
1511,"array([-2.5046556 , -7.66063193])"
1512,"array([-2.6418155 , -7.19691811])"
1513,"array([-2.38066818, -7.76308689])"
1514,"array([-2.43052528, -7.05664402])"
1515,"array([-2.52455227, -7.73872186])"
1516,"array([ -3.73811001, -10.33115318])"
1517,"array([ -2.03608411, -10.04564097])"
1518,"array([-1.56132294, -8.43676637])"
1519,"array([ -2.15418271, -10.10916159])"
1520,"array([-1.6450017 , -7.52764573])"
1521,"array([-2.27762662, -8.31157183])"
1522,"array([-2.12718148, -8.33736927])"
1523,"array([-2.9639226 , -7.71547184])"
1524,"array([-2.4576917 , -9.44038819])"
1525,"array([-2.62744318, -9.80461581])"
1526,"array([-1.92092412, -8.87026916])"
1527,"array([-1.7931622 , -8.90152036])"
1528,"array([-2.82909059, -8.93975289])"
1529,"array([-2.56042533, -8.31816208])"
1530,"array([-2.8931695, -7.3225695])"
1531,"array([-2.63588165, -8.12329309])"
1532,"array([-2.41871771, -8.34973193])"
1533,"array([-2.88683546, -6.6970889 ])"
1534,"array([-2.77639269, -7.64580515])"
1535,"array([-1.48167579, -8.48031538])"
1536,"array([-1.65181805, -8.80545961])"
1537,"array([-1.6081112 , -8.66377971])"
1538,"array([-3.20077497, -6.77092696])"
1539,"array([-1.33381722, -8.80268574])"
1540,"array([-1.54003301, -9.0329546 ])"
1541,"array([-1.53045781, -8.88853603])"
1542,"array([-2.62695235, -7.01380415])"
1543,"array([-2.69483174, -8.3160259 ])"
1544,"array([-2.4967794 , -9.95681262])"
1545,"array([-2.7409852 , -9.27329299])"
1546,"array([-1.99222813, -9.44848661])"
1547,"array([-2.37154348, -8.89147431])"
1548,"array([-2.10345138, -9.20242019])"
1549,"array([-2.47586923, -9.32220932])"
1550,"array([ -2.19928864, -10.09845925])"
1551,"array([-2.58434443, -7.58446913])"
1552,"array([-2.44002134, -7.74239691])"
1553,"array([-2.90987187, -9.38599978])"
1554,"array([-2.55237123, -9.82832749])"
1555,"array([ -2.54433407, -10.0135275 ])"
1556,"array([-2.45302483, -8.44034757])"
1557,"array([-1.79306871, -7.52506371])"
1558,"array([-2.26404677, -8.06032141])"
1559,"array([-1.97265828, -7.92277217])"
1560,"array([-2.73267866, -7.61956494])"
1561,"array([-2.40517885, -8.31213389])"
1562,"array([-1.21210987, -8.46575945])"
1563,"array([-2.49560948, -8.29432091])"
1564,"array([-1.66125443, -9.6144573 ])"
1565,"array([-2.3967883 , -9.09159196])"
1566,"array([-3.28777508, -7.49596874])"
1567,"array([-2.51782442, -8.43997867])"
1568,"array([-2.6606601 , -6.55217504])"
1569,"array([-2.46066307, -6.31721234])"
1570,"array([-2.22589636, -9.30420628])"
1571,"array([-1.57478265, -8.56903119])"
1572,"array([-2.31701785, -7.16502148])"
1573,"array([-1.98281633, -7.65207316])"
1574,"array([-3.22610429, -7.04434134])"
1575,"array([-2.67834767, -7.63273651])"
1576,"array([-1.04732629, -8.16739734])"
1577,"array([-2.60794678, -8.40471981])"
1578,"array([-2.48895469, -7.79444024])"
1579,"array([-2.11961835, -9.69321204])"
1580,"array([-2.68505587, -8.35069717])"
1581,"array([-2.13207022, -7.88734273])"
1582,"array([-1.75257036, -8.0859938 ])"
1583,"array([-1.55534797, -8.36736083])"
1584,"array([-2.56347621, -9.1238931 ])"
1585,"array([-2.30796866, -9.93386984])"
1586,"array([-1.79091605, -7.95312055])"
1587,"array([-1.84228313, -7.74277906])"
1588,"array([-2.77093534, -7.77578806])"
1589,"array([-2.65779479, -7.52223485])"
1590,"array([-1.16701638, -8.26559058])"
1591,"array([-2.12801531, -9.08435282])"
1592,"array([-1.98009665, -9.21898801])"
1593,"array([-2.89254506, -9.75602789])"
1594,"array([-2.8508206 , -9.49688559])"
1595,"array([-0.87492003, -8.10308768])"
1596,"array([-2.54606514, -8.83375721])"
1597,"array([-2.67387999, -7.95921977])"
1598,"array([-2.56282879, -7.75653115])"
1599,"array([-2.61971705, -8.03097783])"
1600,"array([-1.50909764, -8.51010775])"
1601,"array([-2.16312196, -7.9102176 ])"
1602,"array([-1.79432465, -7.61586103])"
1603,"array([-1.02998556, -7.55028641])"
1604,"array([-1.67564687, -7.72365499])"
1605,"array([-2.19698563, -7.96763035])"
1606,"array([-2.6458603 , -9.90172599])"
1607,"array([-2.67043598, -8.7822061 ])"
1608,"array([-2.5465703, -8.4273989])"
1609,"array([ -1.95848678, -10.02111782])"
1610,"array([-2.04444911, -7.85037431])"
1611,"array([-1.86255203, -7.84614048])"
1612,"array([-2.56917274, -8.44419736])"
1613,"array([-0.60225121, -8.56885951])"
1614,"array([-1.83878697, -8.5577267 ])"
1615,"array([ -1.05425409, -10.57765514])"
1616,"array([-2.39006006, -9.24040932])"
1617,"array([-2.30380945, -8.06996043])"
1618,"array([-2.43688423, -8.41821988])"
1619,"array([-2.20896522, -9.15350193])"
1620,"array([-2.70718805, -7.99779354])"
1621,"array([-2.53557739, -8.11034136])"
1622,"array([-2.34960278, -9.0413901 ])"
1623,"array([-1.97746739, -9.27481607])"
1624,"array([-3.06533622, -9.65954414])"
1625,"array([-2.82960351, -8.13413644])"
1626,"array([-2.00403761, -7.86162067])"
1627,"array([-2.84682661, -7.07540135])"
1628,"array([-2.34606111, -7.27382147])"
1629,"array([-2.5714693 , -9.52567541])"
1630,"array([-2.57094773, -8.59190652])"
1631,"array([-1.23467911, -7.75912039])"
1632,"array([-2.3641196 , -7.58437841])"
1633,"array([-2.22408441, -9.91822045])"
1634,"array([-2.17274963, -9.1362602 ])"
1635,"array([-2.20588306, -8.34886742])"
1636,"array([-2.28742797, -8.39265327])"
1637,"array([-1.76378325, -8.8862122 ])"
1638,"array([-1.268806  , -7.14876743])"
1639,"array([-2.36697547, -7.72062487])"
1640,"array([-1.9372043 , -7.89801166])"
1641,"array([-2.65444842, -7.57180083])"
1642,"array([-2.8483356 , -7.35492499])"
1643,"array([-2.33739265, -7.69925252])"
1644,"array([-2.46347075, -8.2580987 ])"
1645,"array([-2.49822787, -8.04631702])"
1646,"array([-1.62874558, -8.19538865])"
1647,"array([-2.56583918, -8.797431  ])"
1648,"array([-2.57303585, -9.56990614])"
1649,"array([-2.93810336, -9.41187907])"
1650,"array([-2.02542117, -8.28579865])"
1651,"array([-2.10261159, -7.87680299])"
1652,"array([-2.11691279, -8.39150508])"
1653,"array([-2.18686613, -8.04699319])"
1654,"array([-1.57710513, -7.20463575])"
1655,"array([-2.07790299, -7.32499954])"
1656,"array([-2.40237161, -8.56939553])"
1657,"array([-2.92953829, -9.60251734])"
1658,"array([-3.04590527, -7.66207119])"
1659,"array([-2.736397  , -8.92124362])"
1660,"array([-3.59820213, -9.29440412])"
1661,"array([-2.10721026, -8.11812627])"
1662,"array([-2.01253372, -8.01446768])"
1663,"array([-1.07402079, -7.61125026])"
1664,"array([-2.91373782, -8.19944096])"
1665,"array([-2.25095637, -9.39047489])"
1666,"array([-3.04317338, -7.31463847])"
1667,"array([-1.90438132, -7.91642499])"
1668,"array([-1.74967006, -7.63203905])"
1669,"array([-1.94717252, -7.78189366])"
1670,"array([-2.02514518, -9.5393975 ])"
1671,"array([ -2.1093488 , -10.15113649])"
1672,"array([-1.65968421, -9.8613603 ])"
1673,"array([-2.0746508 , -8.19604933])"
1674,"array([-2.23454055, -9.17835176])"
1675,"array([-3.15298151, -9.18343986])"
1676,"array([-2.65453102, -9.38724818])"
1677,"array([-2.18837324, -9.35765268])"
1678,"array([-2.66815104, -7.78210594])"
1679,"array([-1.48133148, -8.03543908])"
1680,"array([-1.40797011, -7.95684787])"
1681,"array([-1.90554361, -8.29724317])"
1682,"array([-2.42285844, -9.51692346])"
1683,"array([-2.4449923 , -8.98641706])"
1684,"array([-2.3269371 , -9.88732885])"
1685,"array([-1.23026861, -7.61461351])"
1686,"array([-1.09494804, -7.53945565])"
1687,"array([-1.68692613, -7.98448468])"
1688,"array([-1.87225992, -7.89745269])"
1689,"array([-0.66562942, -8.61577584])"
1690,"array([-2.55297499, -9.78516666])"
1691,"array([-2.66982879, -8.06382626])"
1692,"array([-2.60230152, -7.74619781])"
1693,"array([-1.70433096, -7.23472955])"
1694,"array([-2.4712796 , -9.51053697])"
1695,"array([-2.87982639, -9.9792311 ])"
1696,"array([-2.24491217, -8.29980023])"
1697,"array([-1.590128  , -8.72109195])"
1698,"array([-2.54857965, -6.36248772])"
1699,"array([-2.52011176, -6.99976627])"
1700,"array([-2.15324982, -8.27078296])"
1701,"array([-2.40730886, -7.73831343])"
1702,"array([-2.53638887, -7.54715184])"
1703,"array([-2.62900097, -7.81116674])"
1704,"array([-2.54286176, -7.44099117])"
1705,"array([-2.71284175, -9.04572373])"
1706,"array([-2.19228871, -8.26561928])"
1707,"array([-2.01096012, -8.12961689])"
1708,"array([-2.92452584, -9.45235671])"
1709,"array([-1.36178463, -7.58441425])"
1710,"array([-2.53549126, -8.85001717])"
1711,"array([-2.31946194, -9.40174825])"
1712,"array([-1.78463904, -8.36857157])"
1713,"array([-1.50902157, -7.57505036])"
1714,"array([-2.77718393, -7.97187697])"
1715,"array([-2.06335149, -7.22524873])"
1716,"array([-1.97798586, -9.97943161])"
1717,"array([ -2.45066319, -10.07607383])"
1718,"array([-2.58049546, -8.5268459 ])"
1719,"array([-2.68311227, -7.00620579])"
1720,"array([-2.75710083, -7.30207854])"
1721,"array([-2.01265616, -8.5089694 ])"
1722,"array([-2.49250144, -7.83137771])"
1723,"array([ -2.5757783 , -10.39057353])"
1724,"array([-1.11674184, -7.15254   ])"
1725,"array([-1.52342231, -7.79626466])"
1726,"array([-3.08389104, -9.51037209])"
1727,"array([-2.53851206, -8.39980797])"
1728,"array([-2.57891409, -7.96576339])"
1729,"array([-1.56006461, -7.52215506])"
1730,"array([-0.85918306, -6.81558877])"
1731,"array([-0.96774492, -7.53431932])"
1732,"array([-2.44713751, -8.15832211])"
1733,"array([-1.48878635, -7.68909023])"
1734,"array([-2.5207128 , -9.92267012])"
1735,"array([-1.07040503, -7.95164631])"
1736,"array([-2.61046607, -7.1086901 ])"
1737,"array([-3.30635606, -9.45654492])"
1738,"array([ -2.95098326, -10.17728196])"
1739,"array([-1.90298653, -8.18529361])"
1740,"array([-2.33204679, -7.61429924])"
1741,"array([-2.36280852, -7.41641136])"
1742,"array([-3.07897257, -6.36049006])"
1743,"array([-3.16016083, -6.38054327])"
1744,"array([-0.80426302, -8.19040968])"
1745,"array([-2.23466324, -7.98968489])"
1746,"array([-2.17045914, -8.45756688])"
1747,"array([-1.65734293, -8.76880177])"
1748,"array([-3.35342283, -9.76902497])"
1749,"array([-1.78643573, -8.47877527])"
1750,"array([-1.81798477, -7.85437026])"
1751,"array([-2.2470732 , -7.81896027])"
1752,"array([-2.8353119 , -7.65884237])"
1753,"array([-1.40563465, -8.5629252 ])"
1754,"array([-0.62160697, -8.37983514])"
1755,"array([-1.90438397, -7.76690991])"
1756,"array([-2.56327754, -7.65897579])"
1757,"array([-1.98921603, -7.5363568 ])"
1758,"array([-1.36575463, -7.76006438])"
1759,"array([-2.21018242, -7.70010036])"
1760,"array([-2.56085426, -8.13346813])"
1761,"array([-0.8740924 , -8.97817125])"
1762,"array([-2.33225982, -8.09100783])"
1763,"array([-2.56472885, -6.65541112])"
1764,"array([-1.36123794, -8.30682465])"
1765,"array([-1.45588767, -6.84793416])"
1766,"array([-1.85452142, -6.90349964])"
1767,"array([-2.31656157, -8.14999581])"
1768,"array([-2.83891358, -9.36567688])"
1769,"array([ -2.37658759, -10.43374332])"
1770,"array([-1.83427506, -7.66079871])"
1771,"array([-1.74132042, -8.313707  ])"
1772,"array([-2.03830079, -7.80564754])"
1773,"array([-2.77210547, -7.60170757])"
1774,"array([ 0.05641363, -9.27455567])"
1775,"array([-2.95432235, -9.67688692])"
1776,"array([-2.46211193, -8.18458611])"
1777,"array([-2.21454741, -7.88477697])"
1778,"array([ 0.24002113, -8.21968633])"
1779,"array([-1.25904941, -8.25480773])"
1780,"array([-3.43330562, -9.12119453])"
1781,"array([-2.4368725 , -8.83099814])"
1782,"array([-3.3333109 , -7.67999087])"
1783,"array([-1.53605876, -7.72326212])"
1784,"array([-2.76034427, -7.69179442])"
1785,"array([ -3.32244829, -10.0580575 ])"
1786,"array([-2.22792736, -8.05614024])"
1787,"array([-2.42598033, -6.73595853])"
1788,"array([-2.60607264, -7.65413484])"
1789,"array([-0.81458949, -8.32857418])"
1790,"array([-2.58172744, -8.94382303])"
1791,"array([-2.08928929, -8.04336054])"
1792,"array([-2.67436643, -9.28877253])"
1793,"array([-2.17327928, -8.64288142])"
1794,"array([-1.15901867, -7.90734856])"
1795,"array([-2.27144228, -8.58285237])"
1796,"array([-2.93122596, -9.32591279])"
1797,"array([-3.07967903, -7.44561415])"
1798,"array([-2.97159586, -8.23985408])"
1799,"array([-2.92039681, -7.72039314])"
1800,"array([-1.19801733, -8.5758187 ])"
1801,"array([-1.54349181, -8.73013796])"
1802,"array([-2.96281115, -9.51872583])"
1803,"array([-1.70687519, -6.92046441])"
1804,"array([-2.18073739, -7.15711422])"
1805,"array([-2.61734944, -7.85825463])"
1806,"array([-2.54476913, -7.19721478])"
1807,"array([-2.48138071, -7.97048908])"
1808,"array([-1.81843175, -8.25819555])"
1809,"array([-2.44089758, -8.04686996])"
1810,"array([-2.51761815, -7.48176929])"
1811,"array([-2.64867825, -7.92738809])"
1812,"array([-2.07204985, -7.88696549])"
1813,"array([-2.49532193, -7.75671433])"
1814,"array([-2.59075889, -8.07216679])"
1815,"array([-2.02954271, -8.07312448])"
1816,"array([ -2.44424908, -10.21630897])"
1817,"array([-2.06352217, -9.36001071])"
